sku,product_num,product_color,product_size,total_each_sku,product_unit_price,order_date,order_id
2000-Navy-M,2000,Navy,M,1,118,2018/01/01,3507
802-SlateGray-XS,802,SlateGray,XS,1,84,2018/01/01,3517
2000-White-XS,2000,White,XS,1,118,2018/01/01,3517
801-Black-XS,801,Black,XS,1,79,2018/01/01,3517
801-White-XS,801,White,XS,1,79,2018/01/01,3517
202-Natural-XL,202,Natural,XL,1,80,2018/01/01,3603
230-FuchsiaPurple-XL,230,FuchsiaPurple,XL,1,80,2018/01/01,3603
9001-White-M,9001,White,M,2,86.44,2018/01/01,3421
9001-Black-M,9001,Black,M,1,86.44,2018/01/01,3421
402-FuchsiaPurple-L,402,FuchsiaPurple,L,1,76,2020/01/01,4010
2000-Black-XL,2000,Black,XL,1,88,2020/01/01,4010
1001-Ivory-S,1001,Ivory,S,2,72,2018/01/01,3534
901-Black-XL,901,Black,XL,1,74.09,2018/01/01,3505
901-Navy-XL,901,Navy,XL,1,74.09,2018/01/01,3505
901-Black-L,901,Black,L,1,72,2018/01/01,3542
901-Navy-L,901,Navy,L,1,72,2018/01/01,3542
202-Natural-XL,202,Natural,XL,1,86.11,2018/01/01,3524
401-Natural-XL,401,Natural,XL,1,77.51,2018/01/01,3524
802-Black-XL,802,Black,XL,1,90.43,2018/01/01,3524
202-Natural-S,202,Natural,S,1,82.31,2018/01/01,3503
901-Navy-S,901,Navy,S,1,74.09,2018/01/01,3503
402-White-M,402,White,M,1,71,2012/01/01,950
302-White-M,302,White,M,1,71,2012/01/01,923
1041-Black-XL,1041,Black,XL,1,89,2021/01/01,4280
501-Black-XL,501,Black,XL,1,74,2021/01/01,4280
802-Black-L,802,Black,L,1,84,2021/01/01,4279
802-White-L,802,White,L,1,84,2021/01/01,4279
402-SlateGray-L,402,SlateGray,L,1,80,2021/01/01,4282
402-Bluestone-L,402,Bluestone,L,1,80,2021/01/01,4282
402-Black-L,402,Black,L,1,80,2021/01/01,4282
802-Ivory-XS,802,Ivory,XS,1,76,2018/01/01,3358
802-Ivory-XL,802,Ivory,XL,1,76,2018/01/01,3363
